207	Terminal :	10.80.15.220 	 Kullanıcı :00402 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:54:11
208	Terminal :	10.80.15.220 	 Kullanıcı :00253 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:55:58
209	Terminal :	10.80.15.220 	 Kullanıcı :00256 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:56:02
210	Terminal :	10.80.15.220 	 Kullanıcı :00230 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:56:04
211	Terminal :	10.80.15.220 	 Kullanıcı :00336 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:56:25
212	Terminal :	10.80.15.220 	 Kullanıcı :00257 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:56:36
213	Terminal :	10.80.15.220 	 Kullanıcı :00030 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:56:42
214	Terminal :	10.80.15.220 	 Kullanıcı :00325 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:57:42
215	Terminal :	10.80.15.220 	 Kullanıcı :00009 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:58:53
216	Terminal :	10.80.15.220 	 Kullanıcı :00123 : 	 İşlem Tipi 0	26.05.2022 00:00:00	07:59:17
217	Terminal :	10.80.15.220 	 Kullanıcı :00376 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:00:34
218	Terminal :	10.80.15.220 	 Kullanıcı :00176 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:00:36
219	Terminal :	10.80.15.220 	 Kullanıcı :00282 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:00:39
220	Terminal :	10.80.15.220 	 Kullanıcı :00077 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:00:45
221	Terminal :	10.80.15.220 	 Kullanıcı :00382 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:01:00
222	Terminal :	10.80.15.220 	 Kullanıcı :00045 : 	 İşlem Tipi 0	26.05.2022 00:00:00	08:01:19
